Batch 1 predictions: ['javelin throw', 'singing', 'assembling computer', 'ironing', 'hurdling', 'country line dancing', 'hugging baby', 'filling eyebrows', 'grinding meat', 'eating doughnuts', 'snatch weight lifting', 'washing dishes', 'applying cream', 'training dog', 'skydiving', 'grinding meat', 'krumping', 'smoking hookah', 'tobogganing', 'playing guitar', 'catching fish', 'riding a bike', 'cartwheeling', 'waking up', 'catching or throwing softball', 'spinning poi', 'carving pumpkin', 'carving pumpkin', 'throwing discus', 'water skiing', 'ice climbing', 'cooking chicken', 'playing basketball', 'bowling', 'mopping floor', 'playing guitar', 'playing harmonica', 'juggling soccer ball', 'high kick', 'busking', 'playing xylophone', 'welding', 'changing oil', 'opening present', 'eating cake', 'paragliding', 'riding mechanical bull', 'cooking egg', 'bending back', 'grinding meat', 'laughing', 'wrestling', 'planting trees', 'shot put', 'unloading truck', 'hopscotch', 'laying bricks', 'throwing ball (not baseball or American football)', 'playing saxophone', 'hugging (not baby)', 'smoking', 'spraying', 'presenting weather forecast', 'disc golfing']
Batch 1 soft predictions: ['javelin throw', 'singing', 'assembling computer', 'ironing', 'hurdling', 'country line dancing', 'hugging baby', 'filling eyebrows', 'grinding meat', 'eating doughnuts', 'snatch weight lifting', 'washing dishes', 'applying cream', 'training dog', 'skydiving', 'grinding meat', 'krumping', 'smoking hookah', 'tobogganing', 'playing guitar', 'catching fish', 'riding a bike', 'cartwheeling', 'waking up', 'catching or throwing softball', 'spinning poi', 'carving pumpkin', 'carving pumpkin', 'throwing discus', 'water skiing', 'ice climbing', 'cooking chicken', 'playing basketball', 'bowling', 'mopping floor', 'playing guitar', 'playing harmonica', 'juggling soccer ball', 'high kick', 'busking', 'playing xylophone', 'welding', 'changing oil', 'opening present', 'eating cake', 'paragliding', 'riding mechanical bull', 'cooking egg', 'bending back', 'grinding meat', 'laughing', 'wrestling', 'planting trees', 'shot put', 'unloading truck', 'hopscotch', 'laying bricks', 'throwing ball (not baseball or American football)', 'playing saxophone', 'hugging (not baby)', 'smoking', 'spraying', 'presenting weather forecast', 'disc golfing']
Batch 1 true labels: ['javelin throw', 'using megaphone', 'assembling computer', 'ironing', 'hurdling', 'country line dancing', 'waiting in line', 'filling eyebrows', 'grinding meat', 'eating doughnuts', 'snatch weight lifting', 'washing dishes', 'doing nails', 'walking the dog', 'skydiving', 'grinding meat', 'krumping', 'smoking hookah', 'tobogganing', 'playing guitar', 'catching fish', 'riding a bike', 'cartwheeling', 'somersaulting', 'catching or throwing softball', 'spinning poi', 'carving pumpkin', 'carving pumpkin', 'throwing discus', 'water skiing', 'ice climbing', 'cooking chicken', 'shooting basketball', 'bowling', 'mopping floor', 'playing piano', 'eating hotdog', 'juggling soccer ball', 'catching or throwing baseball', 'busking', 'playing xylophone', 'spraying', 'changing oil', 'opening present', 'eating cake', 'paragliding', 'riding mechanical bull', 'cooking egg', 'bending back', 'grinding meat', 'eating chips', 'faceplanting', 'planting trees', 'stretching arm', 'unloading truck', 'hopscotch', 'laying bricks', 'tai chi', 'playing saxophone', 'egg hunting', 'shaking hands', 'blasting sand', 'presenting weather forecast', 'disc golfing']
Batch 1 top 5 predictions:
['javelin throw', 'shot put', 'throwing discus', 'hammer throw', 'high jump']
['singing', 'using megaphone', 'decorating the christmas tree', 'answering questions', 'listening with headphones']
['assembling computer', 'using remote controller (not gaming)', 'unboxing', 'folding paper', 'adjusting glasses']
['ironing', 'washing dishes', 'cleaning', 'shredding paper', 'sharpening knives']
['hurdling', 'triple jump', 'high jump', 'long jump', 'jogging']
['country line dancing', 'dancing charleston', 'swing dancing', 'dancing gangnam style', 'salsa dancing']
['hugging baby', 'petting animal (not cat)', 'splashing water', 'feeding fish', 'hugging (not baby)']
['filling eyebrows', 'applying cream', 'smoking', 'waxing', 'sharpening pencil']
['grinding meat', 'cooking sausages (not on barbeque)', 'tossing salad', 'cooking chicken', 'breading or breadcrumbing']
['eating doughnuts', 'eating cake', 'eating hotdog', 'eating burger', 'eating ice cream']
['snatch weight lifting', 'clean and jerk', 'deadlifting', 'squat', 'front raises']
['washing dishes', 'gargling', 'making tea', 'washing hands', 'flipping bottle']
['applying cream', 'cutting nails', 'doing nails', 'bandaging', 'folding paper']
['training dog', 'walking the dog', 'jogging', 'blowing leaves', 'petting animal (not cat)']
['skydiving', 'bungee jumping', 'paragliding', 'abseiling', 'motorcycling']
['grinding meat', 'cooking sausages (not on barbeque)', 'barbequing', 'cooking chicken', 'sharpening knives']
['krumping', 'breakdancing', 'high kick', 'drop kicking', 'cartwheeling']
['smoking hookah', 'holding snake', 'climbing', 'stomping grapes', 'opening bottle (not wine)']
['tobogganing', 'bobsledding', 'snowmobiling', 'faceplanting', 'skiing mono']
['playing guitar', 'playing bass guitar', 'tapping guitar', 'singing', 'recording music']
['catching fish', 'canoeing or kayaking', 'sailing', 'crossing river', 'spinning poi']
['riding a bike', 'riding unicycle', 'riding scooter', 'hopscotch', 'faceplanting']
['cartwheeling', 'dancing ballet', 'high kick', 'reading newspaper', 'capoeira']
['waking up', 'headbanging', 'headbutting', 'slapping', 'shouting']
['catching or throwing softball', 'catching or throwing baseball', 'throwing ball (not baseball or American football)', 'hitting baseball', 'playing kickball']
['spinning poi', 'dancing macarena', 'hula hooping', 'juggling fire', 'skipping rope']
['carving pumpkin', 'brush painting', 'sharpening knives', 'smoking', 'sharpening pencil']
['carving pumpkin', 'opening present', 'blowing out candles', 'eating cake', 'tasting food']
['throwing discus', 'shot put', 'hammer throw', 'disc golfing', 'javelin throw']
['water skiing', 'skiing mono', 'skiing slalom', 'faceplanting', 'ski jumping']
['ice climbing', 'ice fishing', 'shoveling snow', 'digging', 'blasting sand']
['cooking chicken', 'barbequing', 'cooking sausages (not on barbeque)', 'dining', 'breading or breadcrumbing']
['playing basketball', 'shooting basketball', 'dunking basketball', 'dribbling basketball', 'passing American football']
['bowling', 'throwing ball (not baseball or American football)', 'drop kicking', 'catching or throwing baseball', 'cartwheeling']
['mopping floor', 'sweeping floor', 'bowling', 'cleaning', 'ironing']
['playing guitar', 'tapping guitar', 'playing keyboard', 'busking', 'playing piano']
['playing harmonica', 'playing recorder', 'auctioning', 'clapping', 'eating hotdog']
['juggling soccer ball', 'kicking soccer ball', 'shooting goal (soccer)', 'dribbling basketball', 'throwing ball (not baseball or American football)']
['high kick', 'catching or throwing baseball', 'krumping', 'cartwheeling', 'tossing coin']
